"","ID","RT.diff.DD","RT.diff.PES","Sex_C","Child_Age","RavenScore","DD","NDD","PE","NPE"
"1","102",-0.096722647289077,-0.00264696162254566,1,5.55,27,1817.09090909091,1766.74285714286,1965.53846153846,1733.18181818182
"5","117",-1.03944319504155,-0.492889727890181,0,5.32,26,1365.29166666667,1492.90243902439,1478,1443.67213114754
"6","120",-0.99963034167942,2.29460802425727,0,6.22,26,1736.71428571429,1856.80952380952,2885,1724.68965517241
"7","121",0.260421279932198,-2.02907708113748,0,5.65,15,1805.7,1687.93333333333,1504,2090.2
"10","124",-0.847901782617253,0.0634629249461274,1,5.58,12,1547.85714285714,1639.31034482759,1766.17647058824,1507.11538461538
"11","125",0.261262583072652,-0.422199853128055,1,6,23,1727.76923076923,1609.84375,1718,1655.11764705882
"14","127",-1.52389332216383,-0.488989000870954,1,5.31,15,1490.05882352941,1709.12,1641.82352941176,1605.92
"15","128",-0.236863324742009,0.194340808267792,0,5.71,20,1072.04347826087,1048.15,1329.33333333333,1017.40540540541
"16","129",0.324022284687361,-1.25600763931119,0,6.1,13,1393.5,1263.72727272727,1138.15384615385,1412.08
"17","130",-0.192743836131608,1.01447649929927,0,5.95,21,1510.03448275862,1477.8125,2030.9,1387.6862745098
"18","131",1.10325842054837,-0.788856459433141,0,5.44,24,1420.31034482759,1143.44,1229,1314.225
"19","132",-1.63713100194796,0.213782600737815,0,5.49,19,1470.38095238095,1710.81818181818,1948,1628.21875
"20","133",0.628014252739225,0.213145277543179,0,5.73,17,1753.11428571429,1565.95652173913,1959.85714285714,1640.33333333333
"21","134",-0.0872523438409221,0.525394536378242,0,5.77,17,1400.44827586207,1348.3125,1753,1307.34615384615
"22","135",1.94109156985482,-0.414950826723303,1,6.1,15,1864.5,1429.47058823529,1652.6,1586.78947368421
"25","138",-0.115295078254878,-0.859759605814103,1,6.01,23,1734.5,1687.65789473684,1606.11111111111,1719.97674418605
"26","139",-0.00728800112077877,1.49471159680845,0,6.02,19,1318.11538461538,1250.88461538462,2089.5,1252.3
"27","140",1.02039297427262,0.91662156895111,1,5.98,19,1620.48484848485,1359.25714285714,2027.57142857143,1423.88524590164
"28","141",1.20077266723871,-0.308519144838478,0,5.73,16,1518.8,1223.52173913043,1436.76923076923,1327.96666666667
"29","142",-0.836857846940277,-0.383086479000913,1,5.2,16,1524,1613.36842105263,1627.90909090909,1549.22727272727
"31","143",0.867852655885896,-0.513117613360353,0,6.17,16,2114,1881.56756756757,1981.9375,1955.78048780488
"32","145",-1.09625179600996,0.545879560430644,0,5.43,21,1587.47619047619,1725.81081081081,2114,1660.07142857143
"34","147",0.219670104011135,0.411052917618104,0,5.5,21,1888.83870967742,1778.76470588235,2200,1800.53333333333
"35","148",-1.57979401047933,-0.995457101500648,1,5.69,15,1533.5,1763.11363636364,1538.2,1706.87931034483
"36","149",-0.0263290350454582,-0.529061421604859,0,5.21,21,1620,1556.36363636364,1600.75,1581.03333333333
"37","150",-0.591562497547741,1.69088091242578,1,5.97,23,1538.55,1581.61363636364,2413,1496.5593220339
"38","151",-0.225405390899492,-0.0648174596075638,1,5.81,19,1928.42307692308,1902.36666666667,2084.7,1877.45652173913
"39","152",0.746481104977858,1.08070090471981,1,6.16,24,1251.10714285714,1041.58620689655,1685.18181818182,1015.21739130435
"41","153",1.56874378262371,-0.384472880433572,1,5.7,19,1713.74074074074,1349,1588.83333333333,1510.71153846154
